person	count
MatthiasOlafsson	213
RagnaArnadottir	210
RannveigTHorsteinsdottir	208
GudjonHjorleifsson	206
THorbjorgGunnlaugsdottir	204
HjalmarJonsson	203
JonOlafsson	201
ErlendurTHorsteinsson	201
VilmundurJonsson	198
FridjonSkarphedinsson	197
AxelJonsson	192
MagnusGislason1884	191
IngibjorgBjarnason	191
BjarniGudnason	190
JohannEinvardsson	190
SigurdurEinarsson	186
KristinnAndresson	186
JonSigurdsson1946	184
JonKjartansson	184
JohannesJohannesson	184
SkuliThoroddsen1859	181
ArniJonsson1891	179
LarusJohannesson	179
GudmundurOlafsson1867	176
GunnarGislason	176
SigurdurGudnason	172
AlfredGislason	171
PeturPetursson1921	171
HelgiJonasson	168
PallMagnusson	168
THorsteinnJonsson1885	167
SverrirJuliusson	166
BenediktJohannesson	166
SigurdurKvaran	165
JosefBjornsson	165
SigurdurHlidar	165
JonasRafnar	164
THorleifurJonsson1864	163
GunnlaugurSigmundsson	163
KolbrunJonsdottir1949	162
GudjonGudlaugsson	162
PallPalsson	159
JonSigurjonsson	158
ErlingurFridjonsson	157
BjornDagbjartsson	156
PawelBartoszek	152
StefanGunnlaugsson	149
DagnyJonsdottir	148
KarlGardarsson	148
HaraldurOlafsson	145
PeturTHordarson	144
GunnarSigurdsson	143
JohannaSigmundsdottir	140
SveinnGudmundsson	140
PalmiHannesson	140
THrainnBertelsson	139
KristinnPetursson	139
DavidOlafsson	139
PallTHorbjornsson	138
GudfinnaBjarnadottir	138
HlynurHallsson	138
DoggPalsdottir	137
EsleifurHognason	137
ValgerdurGunnarsdottir1955	136
SveinnBjornsson	134
IngolfurBjarnarson	132
StefanStefansson1896	132
JonTHorkelsson	132
AgustFlygenring	130
SigurdurJonsson1926	130
KarlEinarsson	128
THorarinnPetursson	127
StefanStefansson1863	127
SigurdurMagnusson	124
GunnarOrlygsson	124
BirgirKjaran	124
AstaTHorsteinsdottir	123
SaraTHordardottir	123
AsgeirEiriksson	121
NicholeMosty	120
StefanStefansson1863_8	120
BjornTHorlaksson	118
EinarIngimundarson	118
BjarniGudbjornsson	116
BjorkGudjonsdottir	116
ArmannOlafsson	116
JonasTHorbergsson	115
JonJonsson1871	112
HermannGudmundsson	111
BjornLindal	109
JonKjartansson1917	109
VilborgHardardottir	108
OlafurBriem1851	107
BjornKristjansson1880	104
VilhjalmurTHor	103
GudmundurBjornsson	98
GudmundurKarlsson	98
HallgrimurBenediktsson	97
EdwardHuijbens	97
ElinHirst	97
MagnusNorddahl	96
GudjonJonsson	95
DanielAgustinusson	93
AsgerdurGylfadottir	91
AnnaGudjonsdottir	91
SaeunnStefansdottir	89
HaraldurEinarsson	89
THorarinnSigurjonsson	83
SigurdurThoroddsen	83
JonGudnason	82
LarusHelgason	82
EinarHaraldsson	81
BjornStefansson	81
SigurjonJonsson	80
JonasKristjansson	78
KristjanJonsson	78
THoroddurGudmundsson	77
UnnarStefansson	77
JonasJonsson	77
GudmundurHannesson	76
HelgaHardardottir	76
SverrirBergmann	76
EinarBrynjolfsson	75
BjornJonsson1846	74
KristjanThorlacius	74
SigurdurIngimundarson	73
ValtyrGudmundsson	72
IngolfurGudnason	72
BjornHallsson	72
PetrinaBaldursdottir	72
TeiturEinarsson	71
SigurjonFridjonsson	68
PeturBenediktsson	68
JohannJohannsson	67
OlgaCilia	67
THorbergurTHorleifsson	67
TomasKarlsson	66
THordurSkulason	66
KristinnGudmundsson	64
GunnarMagnuss	61
AdalheidurBjarnfredsdottir	60
GunnarGudbjartsson	58
BjornTHordarson	58
GisliOlafsson	58
GudmundurEggerz	56
OrlygurJonsson	56
SigridurIngvarsdottir	56
ErisRobertsdottir	56
TheodoraTHorsteinsdottir	56
EinarSigurdsson	54
JonJonsson1855	54
SigurdurGunnarsson1848	54
HerdisTHordardottir	52
KatrinThoroddsen	50
KarlFinnbogason	50
JensPalsson	50
EyrunSigthorsdottir	49
ErlaAsgeirsdottir	49
JosefTHorgeirsson	48
GunnarGunnarsson	47
BjornSigfusson	46
BenediktBogason	46
AlfheidurEymarsdottir	46
BragiNielsson	46
MagnusBlondahl	45
ArndisGunnarsdottir	45
GudmundurStefansson1952	44
KarlSigurbergsson	43
EirikurBriem	43
JonSveinsson	43
THorleifurGudmundsson	43
HannesBaldvinsson	43
DrifaSigfusdottir	42
SigurlinSigurdardottir	42
HeidaHelgadottir	41
NielsLund	41
FinnurStefansson	40
JonEvarsson	40
SigfusJonsson	40
JuliusHavsteen	39
IngiHelgason	39
OlafurProppe	39
SigmarGudmundsson	38
JonasHallgrimsson	37
AudurSveinsdottir	36
GudlaugurGudmundsson	36
HrafnkellJonsson	36
GunnarOlafsson	36
JohannMoller	36
THorgrimurSigmundsson	36
MagnusJonsson1878	35
SigurgeirSigurgeirsson	35
MargretMagnusdottir	34
JohannSaemundsson	34
BjornHrafnsson	33
IngolfurFlygenring	33
EyjolfurArmannsson	33
GunnarGudmundsson	33
GudbrandurEinarsson	33
BjarniJonsson	32
SigurdurBlondal	32
OlafurHannibalsson	32
THorunnSveinbjornsdottir	31
OskarJonsson	31
EinarJonsson	30
BjarnfridurLeosdottir	30
HaraldurHenrysson	30
HeimirHannesson	29
BjorgvinJonsson	29
KristrunHeimisdottir	29
MagnusMagnusson	29
SigridurBaldursdottir	28
AsgeirSigurdsson	28
JohannEyjolfsson	28
AnnaSverrisdottir	27
GunnarSveinsson1923	27
HalldorMagnusson	26
KristjanArmannsson	26
HalfdanGudjonsson	26
KristrunFrostadottir	26
GudmundurGudfinnsson	26
AsmundurStefansson	26
HjalmarHaflidason	26
GunnlaugurTHordarson	25
BardiGudmundsson	24
AsgeirFridgeirsson	24
HordurRikhardsson	23
AriArnalds	23
IngibergHannesson	23
SigrunHelgadottir	23
GardarHalldorsson	23
SveinnJonsson	22
EirikurTHorsteinsson	22
RagnarJonsson	22
JonaElinardottir	22
KristoferKristinsson	22
TryggviBjarnason	22
